id,national_park,state,Favorite Trails,Scenic Drive,Best Time to Go,Where to Stay,Admission Fee,Must-Have Experience,hotel_name,hotel_price,inception,highest_peak
10,Death Valley National Park,California,"Natural Bridge, Mesquite Salt Flat Sand Dunes, Mosaic Canyon, Telescope Peak",Artists Drive,"Spring for wildflowers, winter for mild temperatures","The Ranch, The Inn","$30 per vehicle or $15 per individual, valid for 7 days","If all goes as planned, Scotty’s Castle will reopen in 2020. This is one of the park’s must-see sites, along with the view from Zabriskie Point.","['Stovepipe Wells', 'Longstreet Inn & Casino', 'Atomic Inn']","[144.0, 95.0, 60.0]",1994-10-31T00:00:00Z,Telescope Peak
11,Glacier Bay National Park and Preserve,Alaska,"Forest Trail, Tlingit Trail, Bartlett River, Bartlett Lake/Towers",,It’s best to visit in summer when boats are running. Expect it to be wet and cold no matter when you visit.,"Glacier Bay Lodge, Annie Mae Lodge, Gustavus Inn at Glacier Bay",None,"Ride the Baranhoff Wind, a daily boat that takes you into the Bay",,,1980-01-01T00:00:00Z,Mount Fairweather
12,Black Canyon of the Gunnison National Park,Colorado,"Oak Flat Loop, North Vista, Chasm View, S.O.B. Draw",,April through November sees the least amount of snow.,"Stay Wise, Super 8, Stone House Inn","$20 per vehicle or $10 per individual, valid for 7 days",Drive the South Rim Road and stop at the various overlooks.,,,1933-03-02T00:00:00Z,Poison Spring Hill
13,Petrified Forest National Park,Arizona,"Blue Mesa, Painted Desert Rim, Crystal Forest, Giant Logs, Agate House",Petrified Forest Road,"Spring for wildflowers, fall for the best weather","Best Western, Brad’s Desert Inn, Quality Inn, Lexington Inn","$25 per vehicle or $15 per individual, valid for 7 days",Hike the Blue Mesa Trail and Giant Logs Trails to see the best the park has to offer.,,,1962-01-01T00:00:00Z,Pilot Rock
14,Badlands National Park,South Dakota,"Notch, Door, Window, Castle, Fossil Exhibit",,Spring and fall are best to avoid the heat and dangerous thunderstorms.,"Cedar Pass Lodge, Best Western, America’s Best Value Inn","$25 per vehicle or $12 per individual, valid for 7 days",Hike the Notch Trail to get an amazing view of the badlands and surrounding prairie (White River Valley).,"['Cedar Pass Lodge', 'Badlands Inn', 'Best Western Plains Motel']","[179.0, 130.0, 95.99]",1939-01-25T00:00:00Z,Red Shirt Table
15,Acadia National Park,Maine,"Precipice, Beehive, Jordan Pond",Park Loop Road,September-October for autumn leaves and fewer crowds,"Acadia Bay, Bar Harbor Inn & Spa, Holiday Inn","$30 per vehicle or $15 per individual, valid for 7 days",Climb or drive to the top of Cadillac Mountain for sunrise,"['Atlantic Oceanside', 'Harbour Cottage Inn', 'Bar Harbor Inn & Spa', 'The Bluenose Inn', 'Days Inn by Wyndham Bar Harbor', 'Acadia Inn', 'Bar Harbor Grand Hotel']","[109.0, 239.0, 119.0, 154.0, 159.0, 119.0, 129.0]",1916-07-08T00:00:00Z,Cadillac Mountain
16,Guadalupe Mountains National Park,Texas,"Devil’s Hall, Smith Spring, Guadalupe Peak, Permian Reef Geology",,October and November showcase fall colors while spring brings cool weather perfect for hiking.,Dog Canyon or Pine Springs Campgrounds,"$7 per person, valid for 7 days.","Hike the tallest mountain in Texas, Guadalupe Peak.",,,1972-09-30T00:00:00Z,Guadalupe Peak
17,Olympic National Park,Washington,"Spruce Nature Trail, Hurricane Hill, Sol Duc Falls, Mink Lake",,Summer sees less rain and all roads are open,"Super 8, Quality Inn","$30 per vehicle or $15 per individual, valid for 7 days",Discover the Hoh Rainforest and hike one of the many trails in the park,"['Kalaloch Lodge', 'A Hidden Haven Forest Cottages', 'Lake Crescent Lodge', 'Lake Quinault Lodge', 'Sol Duc Hot Springs Resort', 'Log Cabin Resort', 'Olympic Lodge', 'Rain Forest Resort Village', 'Forks Motel', ' Manresa Castle Hotel', ' Red Lion Hotel Port Angeles', ' Quality Inn Uptown', ' Super 8 by Wyndham Port Angeles at Olympic National Park', ' Dew Drop Inn', ' Holiday Inn Express Sequim', ' Quality Inn & Suites at Olympic National Park']","[131.0, 435.0, 138.0, 101.0, 230.0, 84.0, 119.99, 99.0, 69.0, 75.0, 92.65, 99.0, 80.0, 74.0, 119.0, 109.0]",1938-06-29T00:00:00Z,Mount Olympus
18,Glacier National Park,Montana,"Cracker Lake, Apgar Lookout, Avalanche Lake, Grinnell Glacier, Hidden Meadow, Hidden Lake, Highline",Going-to-the-Sun Road,"Spring and fall offer fewer crowds, but services and road-access may be limited","Village Inn, Lake McDonald Lodge, Super 8, Belton Chalet, Lake Five","$35 per vehicle or $20 per individual, valid for 7 days",Marvel at the views along the Going-to-the-Sun Road,"['Historic Tamarack Lodge & Cabins', 'Izaak Walton Inn', 'Gentry River Ranch', 'North Forty Resort', 'The Cabins at Whitefish', 'The Cottages at Glacier', 'Grouse Mountain Lodge', 'Prince of Wales Hotel', 'Apgar Village Lodge & Cabins', ' Motel Lake McDonald', ' St. Mary Village', ' Glacier Park Lodge', ' Saint Mary / East Glacier KOA', ' Glacier Highland Motel', ' Silverwolf Log Chalet Resort', ' Glacier Vista Motel', ' Moss Mountain Inn', ' Stanton Creek Lodge', ' Glacier Haven Inn', ' Halfway Hotel', ' Glacier Cabins', ' Great Bear Inn', ' Meadow Lake Resort', ' Meadow Lake View Bed & Breakfast', ' Country Inn & Suites by Radisson', ' Pine Lodge on Whitefish River', ' Lodge at Whitefish Lake', ' Firebrand Hotel', ' Best Western Rocky Mountain Lodge', ' Baymont by Wyndham Whitefish', ' Kandahar Lodge', ' Whitefish Mountain Resort', ' Holiday Inn Express & Suites Kalispell', ' Red Lion Hotel Kalispell', ' Hampton Inn Kalispell', ' Hilton Garden Inn Kalispell']","[75.0, 109.0, 395.0, 119.0, 81.0, 290.0, 114.0, 249.0, 99.0, 159.0, 109.0, 149.0, 75.0, 144.0, 129.0, 135.0, 140.0, 119.0, 99.0, 99.0, 109.0, 118.0, 89.0, 219.0, 75.68, 116.0, 115.0, 119.0, 129.0, 89.0, 119.0, 99.0, 80.0, 75.24, 97.0, 86.0]",1910-05-11T00:00:00Z,Mount Cleveland
19,Great Smoky Mountains National Park,Tennessee,"Charlie’s Bunion, Laurel Falls",Cades Cove Loop Road,Fall for autumn leaves and fewer crowds,"Cades Cove Campground, LeConte Mountain Lodge, Baymont, Days Inn",None,Climb to the top of Clingman’s Dome to view the park from its highest point.,"['Brookside Resort', 'The Appy Lodge', 'Little Arrow Outdoor Resort', 'Buckhorn Inn', 'Panther Creek Cabins', 'River Terrace Resort and Convention Center', 'Wild Bear Inn', 'Best Western Cades Cove Inn', 'Baymont Inn by Wyndham Cherokee Smoky Mountains']","[73.75, 119.0, 76.0, 125.0, 90.0, 79.0, 65.0, 69.0, 69.0]",1934-06-15T00:00:00Z,Clingmans Dome
20,Canyonlands National Park,Utah,"Mesa Arch, Grand View Point, Upheaval Dome, Cave Spring, Peekaboo",,"For milder temperatures, visit in spring and fall.","Comfort Inn, Moab Springs Ranch, Airbnb","$30 per vehicle or $15 per individual, valid for 7 days",Stop at one of the scenic viewpoints and marvel at the seemingly never-ending landscape.,"['Moab Springs Ranch', 'Red Cliffs Lodge', 'Sorrel River Ranch Resort and Spa', 'Aarchway Inn', 'Gonzo Inn', 'Best Western Plus Canyonlands Inn', 'Best Western Plus Greenwell Inn', 'Bowen Motel', 'Big Horn Lodge']","[119.0, 120.0, 1129.0, 60.0, 286.0, 109.0, 89.0, 84.18, 69.95]",1964-09-12T00:00:00Z,Cathedral Point
21,Gates of the Arctic National Park and Preserve,Alaska,,,Summer is best for weather,"There are no lodges inside the park. The closest accommodations are in Fairbanks, Alaska. Backcountry camping is encouraged (with a permit).",None,Hike through the park’s vast Wilderness or paddle one of its many Wild & Scenic Rivers.,,,1980-01-01T00:00:00Z,Mount Igikpak
22,Great Sand Dunes National Park and Preserve,Colorado,"Mosca Pass, Zapata Falls, Sand Ramp, Medano Lake",Medano Pass Primitive Road (high clearance 4WD only),Spring and fall are best for milder temperatures.,"Great Sand Dunes Lodge, Dunes Inn, Comfort Inn, Fairfield Inn","$25 per vehicle or $15 per individual, valid for 7 days","Climb to the top of one of the mighty sand dunes. If you visit during summer, you can even rent sleds to slide down on.",,,2004-01-01T00:00:00Z,Tijeras Peak
23,Katmai National Park,Alaska,"Brooks Falls Trail, Dumpling Mountain",The Road to the Valley of Ten Thousand Smokes (shuttle bus only),"July and September are the best months for bear-viewing, but also the most crowded. Services are only available from June to September.","Gold Creek Lodge, Brooks Camp, Brooks Lodge",None,See bears hunt for salmon on Brooks Falls (pictured above).,,,1980-01-01T00:00:00Z,Mount Griggs
24,Saguaro National Park,Arizona,"Freeman Homestead, Douglas Spring, Ridge View, Tanque Verde Ridge",,Temperatures are mildest from October to April. Spring is when cacti bloom (for less than 24 hours).,"Loews Ventana Canyon, Omni Tucson, Hacienda Del Sol","$20 per vehicle or $10 per individual, valid for 7 days",Stroll along any trail to see the namesake cacti.,,,1994-01-01T00:00:00Z,Mica Mountain
25,Joshua Tree National Park,California,"Lost Horse Mine, Lost Palms Oasis",Geology Tour Road (unpaved),Spring for wildflowers and cooler temperatures,"Travelodge Inn, Sure Stay Plus by Best Western, Sunnyvale, Sacred Sands","$30 per vehicle or $15 per individual, valid for 7 days",Watch the sunset over the Joshua trees from Keys View,"['Miracle Springs Resort & Spa', 'Desert Lily Bed & Breakfast']","[89.0, 175.0]",1994-01-01T00:00:00Z,Quail Mountain
26,Wrangell–St. Elias National Park and Preserve,Alaska,"Root Glacier, Jumbo Mine, Erie Mine, Liberty Falls, Skookum Volcano",,The park’s only two roads are maintained in the summer months.,"McCarthy Cabins, Sawing Logzz, Klutina Kate’s, Caribou Cabin",None,Drive the McCarthy Road and hike on Root Glacier.,,,1980-01-01T00:00:00Z,Mount Saint Elias
27,Rocky Mountain National Park,Colorado,"Longs Peak, Bear Lake, Flattop Mountain",Trail Ridge Road,Arrive early in the morning to hit the trails and grab a parking spot before the crowds arrive.,"Stanley Hotel, Crags Lodge, Lookout Cabin, Adventure Hostel","$35 per vehicle or $20 per individual, valid for 7 days",Drive Trail Ridge Road in search of dramatic views and a variety of wild animals.,"['Aspen Winds on Fall River', 'River Stone Resorts and Bear Paw Suites', 'Gateway Inn', 'The Ridgeline Hotel, Estes Park, Ascend Hotel Collection', 'Romantic River Song']","[129.0, 169.0, 125.0, 129.0, 145.0]",1915-01-01T00:00:00Z,Longs Peak
28,Kenai Fjords National Park,Alaska,"Exit Glacier, Harding Icefield",,"Summer is best for large varieties of sea life; expect cold, rainy weather year-round.","Seward Windsong, Wilderness Lodge, Exit Glacier Lodge, Box Canyon Cabins","None, but there is a fee for boat tours.","Take a boat tour to see fjords, wildlife, and amazing scenery. The trip to Fox Island includes lunch and sea kayaking!","['Kenai Fjords Glacier Lodge', 'Kenai Fjords Wilderness Lodge', 'Harbor 360 Hotel', 'Exit Glacier Lodge', 'Seward Windsong Lodge', 'Bear Lake Lodgings B&B', 'Gateway Hotel', 'Best Western Plus Edgewater Hotel']","[1830.0, 1390.0, 104.0, 135.0, 179.0, 189.0, 189.0, 119.99]",1980-01-01T00:00:00Z,McCarty Peak
29,Kings Canyon National Park,California,"General Grant Tree, Mist Falls, Moro Rock",Kings Canyon Scenic Byway,Summer is most crowded; spring and fall offer milder temperatures.,Montecito Lodge,"$35 per vehicle or $20 per individual, valid for 7 days","Drive the Kings Canyon Scenic Byway to view the park’s namesake, Kings Canyon.","['Wuksachi Village & Lodge', 'John Muir Lodge', 'Grant Grove Cabins', 'Rio Sierra Riverhouse', 'Gateway Lodge', 'Cedar Grove Lodge', 'Silver City Resort', 'Buckeye Tree Lodge & Cabins', 'Comfort Inn & Suites Sequoia Kings Canyon', ' Sequoia River Dance Bed & Breakfast', ' Lazy J Ranch Motel', ' Sierra Lodge', ' Sequoia Motel', ' The River Jewel Suites', ' Holiday Inn Express & Suites Dinuba West', ' Wyndham Visalia']","[129.0, 145.0, 56.0, 180.0, 150.0, 158.0, 165.0, 129.0, 99.0, 155.0, 125.0, 139.0, 105.0, 250.0, 80.0, 115.0]",1940-01-01T00:00:00Z,North Palisade
30,Mount Rainier National Park,Washington,"Grove of the Patriarchs, Glacier Basin, Naches Peak Loop",Sunrise Road,Summer for wildflowers; many roads closed in winter,"Copper Creek, Nisqually Lodge, Mountain Meadows","$30 per vehicle or $15 per individual, valid for 7 days",Hike the 5-mile Skyline Trail to follow a ridge for spectacular views of Washington’s highest peaks,"['Paradise Inn', 'National Park Inn', 'Mountain Meadows Inn', 'Nisqually Lodge']","[159.0, 145.0, 84.0, 140.0]",1899-03-02T00:00:00Z,Mount Rainier
31,Shenandoah National Park,Virginia,"Old Rag, Snead Farm, Little Devils Stairs, Mary’s Rock, Stony Man, Hawksbill Gap, Dark Hollow Falls, Chimney Rock",Skyline Drive,Autumn for beautiful fall colors,"Big Meadows Lodge, Inn of the Shenandoah, Skyland Resort","$30 per vehicle or $15 per individual, valid for 7 days",Take a trip down Skyline Drive and view the stunning Appalachian Mountains,"['Skyland', 'Big Meadows Lodge', 'Lewis Mountain Cabins', 'Hotel Laurance', 'Shenandoah River Cabins', 'Mimslyn Inn', 'Days Inn by Wyndham Luray Shenandoah', 'Quality Inn - Luray', 'Hotel Madison & Shenandoah Valley Conference Center', ' Hampton Inn Front Royal', ' Holiday Inn Front Royal', "" Boar's Head Resort"", ' Hotel 24 South']","[101.0, 89.0, 135.0, 135.0, 217.5, 99.0, 59.99, 65.0, 99.0, 136.0, 95.0, 135.0, 97.0]",1935-12-26T00:00:00Z,Hawksbill Mountain
32,Great Basin National Park,Nevada,"Lexington Arch, Bristlecone Trail, Wheeler Peak Summit",Wheeler Peak Scenic Drive,"Summer is best for hiking, winter is best for cross-country skiing.","Hidden Canyon Retreat, La Quinta, All Aboard Inn, Prospector Hotel",None,Check out some ancient bristlecone pines and visit Lehman Caves.,,,1987-01-01T00:00:00Z,Wheeler Peak
33,Theodore Roosevelt National Park,North Dakota,"Wind Canyon, Skyline Vista, Painted Canyon, Petrified Forest, Maah Daah Hey",,"Summer for recreational opportunities, spring for wildflowers.","AmericInn, Cottonwood Campground, Juniper Campground","$30 per vehicle or $15 per individual, valid for 7 days",Look for wild horses as you drive one of the two scenic roads.,,,1978-01-01T00:00:00Z,Peck Hill
34,Hot Springs National Park,Arkansas,"Sunset, Mountaintop, Hot Springs Mountain",West Mountain Summit Drive,Avoid July to skip the crowds,"The Crescent, Los Lagos, Lookout Point","None, however, there is a fee to utilize the baths",Bathe in a healing thermal hot spring,,,1921-03-04T00:00:00Z,Music Mountain
35,Lassen Volcanic National Park,California,"Lassen Peak, Echo Lake, King Creek Falls, Cinder Cone",Lassen Volcanic National Park Highway,"To avoid road closures, visit during the summer months.","The Village, Highlands Ranch, Rose Quartz Inn","$30 per vehicle or $15 per individual, valid for 7 days",Walk along the Bumpass Hell boardwalk to see some of the world’s hottest fumaroles.,,,1916-08-09T00:00:00Z,Lassen Peak
36,North Cascades National Park,Washington,"River Loop, Bridge Creek, Old Wagon, The Enchantments",,"Usually, winter snows close roads from mid-November to mid-April. Visit from May to October to avoid winter storms.","Mount Baker Hotel, Aspen Lodge",None,Take a boat tour in Ross Lake or Lake Chelan National Recreation Areas.,['North Cascades Lodge at Stehekin'],[154.0],1968-10-02T00:00:00Z,Goode Mountain
37,Big Bend National Park,Texas,"Chimneys, Devil’s Den, Boot Canyon, Emory Peak, Lost Mine, Window, Hot Springs Canyon",Ross Maxwell Scenic Drive,Temperatures are mildest between October and April; spring is best for witnessing bird migration.,"Lajitas Resort, Terlingua Ranch Lodge, Riata Inn, Eldorado Hotel","$30 per vehicle or $15 per individual, valid for 7 days","Drive the Ross Maxwell Scenic Road to experience everything from the river to desert landscapes. Stop along the drive and take a hike. If you have time, don’t miss the Fossil Exhibit.","['Chisos Mountains Lodge', 'Lajitas Resort', 'Big Bend Resort & Adventures', 'Gage Hotel', 'Chisos Mining Co. Motel']","[156.0, 149.0, 119.0, 185.0, 70.0]",1942-06-12T00:00:00Z,Emory Peak
38,Pinnacles National Park,California,"Balconies Cave, Condor Gulch to High Peaks, Moses Spring to Rim Trail",,Spring and fall have the mildest temperatures.,"Valley Harvest Inn, Hollister Inn, Posada de San Juan, Fairfield Inn","$30 per vehicle or $15 per individual, valid for 7 days",Hike through some of the park’s talus caves and hike a few of its trails.,,,2013-01-10T00:00:00Z,North Chalone Peak
39,New River Gorge National Park and Preserve,West Virginia,"Long Point, Grandview Rim, Endless Wall, Sandstone Falls, Glade Creek",Fayette Station Road offers a scenic drive teeming with history.,Visit in the fall to see amazing foliage or from April to October for the best whitewater rafting.,"Comfort Inn, Holiday Lodge, Holiday Inn, Clarion Pointe",None,"View the New River Gorge Bridge, pictured above, from the Canyon Rim Visitor Center or the Long Point Trail.",,,2020-12-27T00:00:00Z,Swell Mountain
