,id,url,name,national_park,rating,difficulty,length,elevation_gain,route_type,dog_status,kid_status,bike_status,attributes,state,time
54,55,https://www.alltrails.com/trail/us/utah/wolfe-ranch-and-petroglyph-trail?ref=result-card,Wolfe Ranch and Petroglyph Trail,Arches National Park,5.0,easy,0.5,19.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'wildflowers', 'fee', 'no dogs']",Utah,0.22
55,56,https://www.alltrails.com/trail/us/utah/mossy-cave-turret-arch-and-little-windows-trail?ref=result-card,Mossy Cave Turret Arch and Little Windows Trail,Bryce Canyon National Park,4.5,easy,1.0,118.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'cave', 'river', 'views', 'waterfall', 'wildlife', 'no shade', 'fee', 'no dogs']",Utah,0.48
58,59,https://www.alltrails.com/trail/us/utah/wall-street-and-queens-garden-loop-to-peekaboo-loop-figure-eight-trail?ref=result-card,Wall Street and Queens Garden Loop to Peekaboo Loop (Figure Eight Trail),Bryce Canyon National Park,5.0,moderate,6.3,1499.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'snowshoeing', 'walking', 'running', 'cave', 'forest', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,3.55
59,60,https://www.alltrails.com/trail/us/utah/navajo-loop-trail-to-peekaboo-loop?ref=result-card,Navajo Loop Trail to Peekaboo Loop,Bryce Canyon National Park,5.0,moderate,5.0,1407.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'snowshoeing', 'forest', 'river', 'views', 'wildlife', 'rocky', 'fee', 'no dogs']",Utah,2.02
62,63,https://www.alltrails.com/trail/us/utah/park-avenue?ref=result-card,Park Avenue Trail,Arches National Park,4.5,easy,1.8,298.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'running', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,0.93
74,75,https://www.alltrails.com/trail/us/utah/middle-fork-taylor-creek-trail--4?ref=result-card,Middle Fork Taylor Creek Trail,Zion National Park,4.5,moderate,4.9,715.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'rocky', 'historic site', 'fee', 'no dogs']",Utah,2.45
77,78,https://www.alltrails.com/trail/us/utah/chesler-park?ref=result-card,Chesler Park Loop Trail,Canyonlands National Park,5.0,moderate,10.4,1820.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'walking', 'running', 'views', 'rocky', 'no shade', 'fee', 'no dogs']",Utah,5.2
79,80,https://www.alltrails.com/trail/us/utah/balanced-rock-loop-trail?ref=result-card,Balanced Rock Loop Trail,Arches National Park,4.5,easy,0.3,55.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['wheelchair friendly', 'kid friendly', 'stroller friendly', 'nature trips', 'walking', 'partially paved', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,0.13
80,81,https://www.alltrails.com/trail/us/utah/double-o-arch-trail--2?ref=result-card,Double O Arch Trail,Arches National Park,4.5,moderate,4.1,672.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'views', 'rocky', 'fee', 'no dogs']",Utah,1.65
81,82,https://www.alltrails.com/trail/us/utah/tower-bridge-trail?ref=result-card,Tower Bridge Trail,Bryce Canyon National Park,4.5,moderate,3.4,826.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'forest', 'views', 'wildlife', 'fee', 'no dogs']",Utah,1.93
83,84,https://www.alltrails.com/trail/us/utah/zion-riverside-walk?ref=result-card,Zion Riverside Walk,Zion National Park,5.0,moderate,0.8,55.0,Out & back,No Restrictions,Kid Friendly,No Restrictions,"['wheelchair friendly', 'kid friendly', 'stroller friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'paved', 'river', 'wildlife', 'fee']",Utah,0.33
84,85,https://www.alltrails.com/trail/us/utah/angles-landing-west-rim-telephone-loop?ref=result-card,"Angels Landing, West Rim, Telephone Loop",Zion National Park,5.0,hard,15.5,4396.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'partially paved', 'views', 'rocky', 'scramble', 'fee', 'no dogs']",Utah,8.23
86,87,https://www.alltrails.com/trail/us/utah/lower-pine-creek-waterfall-trail?ref=result-card,Lower Pine Creek Waterfall Trail,Zion National Park,4.5,moderate,0.7,55.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'fee', 'no dogs']",Utah,0.32
87,88,https://www.alltrails.com/trail/us/utah/sand-dune-arch?ref=result-card,Sand Dune Arch Trail,Arches National Park,4.5,easy,0.3,108.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'walking', 'views', 'wildflowers', 'fee', 'no dogs']",Utah,0.2
88,89,https://www.alltrails.com/trail/us/utah/zion-national-park-scenic-drive--2?ref=result-card,Zion National Park Scenic Drive,Zion National Park,5.0,easy,12.6,961.0,Out & back,No Dogs Allowed,Not Kid Friendly,Ideal For Biking,"['road biking', 'scenic driving', 'paved', 'river', 'views', 'wildlife', 'fee', 'no dogs']",Utah,0.0
93,94,https://www.alltrails.com/trail/us/utah/kayenta-trail-to-the-emerald-pools?ref=result-card,Kayenta Trail to the Emerald Pools,Zion National Park,4.5,moderate,2.4,629.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'fee', 'no dogs']",Utah,0.95
94,95,https://www.alltrails.com/trail/us/utah/bryce-point-trail?ref=result-card,Bryce Point Trail,Bryce Canyon National Park,4.5,easy,0.2,26.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['wheelchair friendly', 'kid friendly', 'stroller friendly', 'nature trips', 'walking', 'paved', 'views', 'wildlife', 'fee', 'no dogs']",Utah,0.1
100,101,https://www.alltrails.com/trail/us/utah/many-pools-trail?ref=result-card,Many Pools Trail,Zion National Park,4.5,moderate,2.3,544.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",Utah,1.3
104,105,https://www.alltrails.com/trail/us/utah/upheaval-dome-via-crater-view-trail?ref=result-card,Upheaval Dome via Crater View Trail,Canyonlands National Park,4.5,moderate,1.7,305.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'running', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky', 'no shade', 'fee', 'no dogs']",Utah,0.68
109,110,https://www.alltrails.com/trail/us/utah/white-rim-overlook-trail?ref=result-card,White Rim Overlook Trail,Canyonlands National Park,4.5,easy,1.8,160.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'walking', 'views', 'fee', 'no dogs']",Utah,0.83
111,112,https://www.alltrails.com/trail/us/utah/grand-wash-trail-via-northeast-trailhead?ref=result-card,Grand Wash Trail via Northeast Trailhead,Capitol Reef National Park,4.5,easy,4.4,400.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'wildlife', 'fee', 'no dogs']",Utah,2.03
115,116,https://www.alltrails.com/trail/us/utah/arches-national-park-driving-tour?ref=result-card,Arches National Park Driving Tour,Arches National Park,4.5,easy,29.4,3261.0,Point to point,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'scenic driving', 'walking', 'cave', 'paved', 'views', 'waterfall', 'historic site', 'fee', 'no dogs']",Utah,24.0
119,120,https://www.alltrails.com/trail/us/utah/druid-arch?ref=result-card,Druid Arch Trail,Canyonlands National Park,5.0,moderate,10.4,1614.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'views', 'wildflowers', 'wildlife', 'scramble', 'no shade', 'fee', 'no dogs']",Utah,5.18
121,122,https://www.alltrails.com/trail/us/utah/aztec-butte?ref=result-card,Aztec Butte Trail,Canyonlands National Park,4.5,moderate,1.7,262.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'views', 'no shade', 'fee', 'no dogs']",Utah,0.87
122,123,https://www.alltrails.com/trail/us/utah/wall-arch-and-pine-tree-arch?ref=result-card,Wall Arch and Pine Tree Arch,Arches National Park,4.5,easy,2.7,465.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'views', 'rocky', 'scramble', 'no shade', 'fee', 'no dogs']",Utah,1.1
124,125,https://www.alltrails.com/trail/us/utah/grotto-trail?ref=result-card,Zion Grotto Trail,Zion National Park,4.0,easy,1.2,78.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'fee', 'no dogs']",Utah,0.48
127,128,https://www.alltrails.com/trail/us/utah/the-narrows-top-down?ref=result-card,The Narrows (Top Down),Zion National Park,5.0,hard,15.5,1017.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",Utah,6.93
129,130,https://www.alltrails.com/trail/us/utah/northgate-peaks-via-kolob-terrace?ref=result-card,Northgate Peaks via Kolob Terrace,Zion National Park,4.5,moderate,6.0,1118.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'running', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'fee', 'no dogs']",Utah,3.17
132,133,https://www.alltrails.com/trail/us/utah/west-rim-trail-to-lava-point?ref=result-card,West Rim Trail to Lava Point ,Zion National Park,5.0,hard,28.2,6272.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['camping', 'hiking', 'nature trips', 'running', 'views', 'wildflowers', 'rocky', 'fee', 'no dogs']",Utah,24.0
141,142,https://www.alltrails.com/trail/us/utah/bryce-canyon-rim-trail?ref=result-card,Bryce Canyon Rim Trail,Bryce Canyon National Park,4.5,moderate,10.7,1587.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'partially paved', 'views', 'wildlife', 'fee', 'no dogs']",Utah,5.38
147,148,https://www.alltrails.com/trail/us/utah/chimney-rock-loop-trail?ref=result-card,Chimney Rock Loop Trail,Capitol Reef National Park,4.5,moderate,3.3,793.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'views', 'wildflowers', 'fee', 'no dogs']",Utah,1.87
154,155,https://www.alltrails.com/trail/us/utah/false-kiva-trail?ref=result-card,False Kiva Trail ,Canyonlands National Park,4.5,moderate,1.9,426.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'views', 'rocky', 'scramble', 'off trail', 'no shade', 'fee', 'no dogs']",Utah,0.75
155,156,https://www.alltrails.com/trail/us/utah/navajo-arch-trail--2?ref=result-card,Navajo Arch Trail,Arches National Park,5.0,easy,2.9,492.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'running', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,1.5
164,165,https://www.alltrails.com/trail/us/colorado/cascade-falls?ref=result-card,Cascade Falls,Rocky Mountain National Park,4.5,easy,7.4,675.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'fishing', 'hiking', 'horseback riding', 'nature trips', 'snowshoeing', 'walking', 'bird watching', 'running', 'forest', 'river', 'waterfall', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Colorado,3.43
169,170,https://www.alltrails.com/trail/us/wyoming/lake-solitude-trail?ref=result-card,Lake Solitude Trail,Grand Teton National Park,5.0,hard,16.0,2637.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'snowshoeing', 'bird watching', 'forest', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'bugs', 'rocky', 'snow', 'fee', 'no dogs']",Wyoming,8.22
170,171,https://www.alltrails.com/trail/us/utah/chesler-park-viewpoint?ref=result-card,Chesler Park Viewpoint,Canyonlands National Park,5.0,moderate,5.4,1151.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'walking', 'river', 'views', 'wildflowers', 'rocky', 'no shade', 'fee', 'no dogs']",Utah,2.15
177,178,https://www.alltrails.com/trail/us/utah/sunrise-point?ref=result-card,Sunrise Point,Bryce Canyon National Park,4.5,easy,0.4,45.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'views', 'fee', 'no dogs']",Utah,0.18
182,183,https://www.alltrails.com/trail/us/utah/kayenta-trail-to-the-emerald-pools-and-zion-lodge?ref=result-card,Kayenta Trail to the Emerald Pools and Zion Lodge,Zion National Park,4.5,moderate,2.3,580.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'fee', 'no dogs']",Utah,0.93
193,194,https://www.alltrails.com/trail/us/utah/lower-mid-and-upper-inspiration-points?ref=result-card,"Lower, Mid, and Upper Inspiration Points",Bryce Canyon National Park,4.5,easy,0.6,134.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'fee', 'no dogs']",Utah,0.33
194,195,https://www.alltrails.com/trail/us/utah/shafer-trail--4?ref=result-card,Shafer Trail,Canyonlands National Park,5.0,moderate,18.3,1118.0,Point to point,No Dogs Allowed,Not Kid Friendly,Ideal For Biking,"['mountain biking', 'ohv/off-road driving', 'scenic driving', 'views', 'wildflowers', 'wildlife', 'rocky', 'fee', 'no dogs']",Utah,0.0
195,196,https://www.alltrails.com/trail/us/utah/syncline-loop?ref=result-card,Syncline Loop,Canyonlands National Park,4.5,hard,8.6,1630.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'running', 'views', 'wildlife', 'rocky', 'scramble', 'fee', 'no dogs']",Utah,4.57
197,198,https://www.alltrails.com/trail/us/utah/bristlecone-loop-trail?ref=result-card,Bristlecone Loop Trail,Bryce Canyon National Park,4.0,easy,1.0,88.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'snowshoeing', 'walking', 'forest', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,0.47
198,199,https://www.alltrails.com/trail/us/utah/kolob-arch-via-la-verkin-creek-trail?ref=result-card,Kolob Arch via La Verkin Creek Trail,Zion National Park,4.5,hard,15.1,1781.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'walking', 'running', 'river', 'views', 'waterfall', 'wildflowers', 'fee', 'no dogs']",Utah,7.28
205,206,https://www.alltrails.com/trail/us/utah/cohab-canyon-trail?ref=result-card,Cohab Canyon Trail,Capitol Reef National Park,4.5,moderate,3.0,793.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'wildlife', 'fee', 'no dogs']",Utah,1.75
206,207,https://www.alltrails.com/trail/us/utah/pine-tree-arch-trail?ref=result-card,Pine Tree Arch Trail and Tunnel Arch Trail,Arches National Park,4.5,easy,1.0,196.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'wildflowers', 'fee', 'no dogs']",Utah,0.42
208,209,https://www.alltrails.com/trail/us/utah/angels-landing-trail?ref=result-card,Angels Landing Trail,Zion National Park,5.0,hard,4.4,1604.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'partially paved', 'river', 'views', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'no shade', 'fee', 'no dogs']",Utah,2.78
211,212,https://www.alltrails.com/trail/us/utah/timber-creek-overlook-trail--2?ref=result-card,Timber Creek Overlook Trail,Zion National Park,4.5,easy,1.1,255.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'forest', 'views', 'wildflowers', 'wildlife', 'fee', 'no dogs']",Utah,0.62
212,213,https://www.alltrails.com/trail/us/utah/delicate-arch-viewpoint-trail?ref=result-card,Delicate Arch Viewpoint Trail,Arches National Park,4.0,easy,0.7,141.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'walking', 'views', 'rocky', 'fee', 'no dogs']",Utah,0.38
213,214,https://www.alltrails.com/trail/us/utah/kayenta-trail?ref=result-card,Kayenta Trail,Zion National Park,4.5,moderate,3.1,419.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'walking', 'river', 'views', 'waterfall', 'wildflowers', 'rocky', 'fee', 'no dogs']",Utah,1.53
214,215,https://www.alltrails.com/trail/us/utah/green-river-great-overlook?ref=result-card,Green River Great Overlook,Canyonlands National Park,4.5,easy,0.2,6.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['wheelchair friendly', 'kid friendly', 'stroller friendly', 'nature trips', 'walking', 'views', 'no shade', 'fee', 'no dogs']",Utah,0.08
215,216,https://www.alltrails.com/trail/us/utah/broken-arch-trail?ref=result-card,Broken Arch Trail,Arches National Park,4.5,easy,1.7,167.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'views', 'wildflowers', 'fee', 'no dogs']",Utah,0.8
